ID,Prob1
0, 0.00
1, 0.00
2, 0.67
3, 0.33
4, 0.33
5, 0.67
6, 0.33
7, 0.67
8, 1.00
9, 1.00
10, 0.33
11, 0.67
12, 0.00
13, 0.33
14, 0.00
15, 0.67
16, 0.00
17, 0.00
18, 0.33
19, 0.67
20, 0.33
21, 0.00
22, 0.33
23, 0.00
24, 0.33
25, 0.00
26, 0.67
27, 0.33
28, 0.00
29, 0.00
30, 0.33
31, 0.33
32, 0.67
33, 0.33
34, 0.33
35, 0.00
36, 0.00
37, 0.33
38, 0.00
39, 1.00
40, 1.00
41, 0.33
42, 0.67
43, 0.00
44, 0.33
45, 0.33
46, 0.33
47, 0.33
48, 0.67
49, 0.00
50, 0.67
51, 0.33
52, 0.00
53, 0.33
54, 0.00
55, 0.00
56, 0.33
57, 0.67
58, 0.00
59, 1.00
60, 0.33
61, 0.33
62, 0.67
63, 0.00
64, 0.33
65, 0.00
66, 0.00
67, 0.33
68, 0.33
69, 0.33
70, 0.33
71, 0.33
72, 0.33
73, 0.00
74, 0.00
75, 0.67
76, 0.33
77, 1.00
78, 0.00
79, 0.67
80, 0.67
81, 0.33
82, 0.33
83, 0.33
84, 0.67
85, 0.00
86, 0.67
87, 0.33
88, 0.67
89, 0.00
90, 0.33
91, 0.00
92, 0.33
93, 0.67
94, 0.33
95, 0.67
96, 0.00
97, 0.33
98, 0.33
99, 0.67
100, 0.33
101, 0.33
102, 1.00
103, 0.67
104, 0.67
105, 0.33
106, 0.67
107, 0.33
108, 0.33
109, 0.67
110, 0.33
111, 0.33
112, 0.33
113, 0.33
114, 0.67
115, 0.33
116, 0.33
117, 0.67
118, 0.67
119, 0.00
120, 0.00
121, 0.33
122, 0.00
123, 0.00
124, 0.33
125, 0.00
126, 0.00
127, 0.33
128, 0.00
129, 1.00
130, 0.00
131, 0.67
132, 0.00
133, 0.67
134, 0.00
135, 0.33
136, 0.00
137, 0.00
138, 0.33
139, 1.00
140, 0.33
141, 0.00
142, 0.33
143, 0.67
144, 0.33
145, 0.67
146, 0.00
147, 1.00
148, 0.33
149, 0.67
150, 0.33
151, 0.67
152, 0.33
153, 0.33
154, 0.00
155, 0.67
156, 0.00
157, 0.33
158, 0.00
159, 0.67
160, 0.67
161, 0.00
162, 0.33
163, 0.33
164, 0.33
165, 0.67
166, 0.67
167, 0.00
168, 0.00
169, 0.00
170, 0.33
171, 0.67
172, 0.67
173, 0.67
174, 0.33
175, 0.33
176, 0.67
177, 1.00
178, 0.33
179, 0.33
180, 0.67
181, 0.67
182, 0.00
183, 0.33
184, 0.00
185, 0.33
186, 0.67
187, 0.67
188, 0.00
189, 0.33
190, 0.67
191, 0.33
192, 0.33
193, 0.67
194, 0.33
195, 0.00
196, 1.00
197, 0.67
198, 0.00
199, 0.33
200, 0.33
201, 0.67
202, 0.00
203, 0.33
204, 0.33
205, 0.33
206, 0.33
207, 0.67
208, 0.00
209, 0.33
210, 0.67
211, 0.00
212, 0.33
213, 1.00
214, 0.33
215, 0.00
216, 0.67
217, 0.33
218, 1.00
219, 0.33
220, 0.00
221, 0.33
222, 0.33
223, 0.00
224, 0.33
225, 0.33
226, 0.67
227, 0.33
228, 1.00
229, 0.67
230, 0.67
231, 0.67
232, 0.33
233, 0.33
234, 0.67
235, 0.33
236, 0.67
237, 0.00
238, 0.33
239, 0.33
240, 0.00
241, 0.33
242, 0.67
243, 0.00
244, 0.67
245, 0.00
246, 0.00
247, 0.00
248, 0.33
249, 1.00
250, 0.67
251, 0.00
252, 0.33
253, 0.33
254, 1.00
255, 0.33
256, 0.00
257, 0.67
258, 0.00
259, 0.33
260, 0.00
261, 0.00
262, 0.33
263, 0.33
264, 0.33
265, 0.33
266, 0.00
267, 0.00
