ID,Prob1
0, 0.29
1, 0.20
2, 0.41
3, 0.23
4, 0.36
5, 0.31
6, 0.38
7, 0.21
8, 0.58
9, 0.60
10, 0.24
11, 0.47
12, 0.31
13, 0.78
14, 0.20
15, 0.39
16, 0.66
17, 0.29
18, 0.35
19, 0.22
20, 0.18
21, 0.51
22, 0.22
23, 0.35
24, 0.47
25, 0.20
26, 0.81
27, 0.68
28, 0.31
29, 0.34
30, 0.28
31, 0.19
32, 0.29
33, 0.26
34, 0.36
35, 0.50
36, 0.60
37, 0.41
38, 0.24
39, 0.22
40, 0.23
41, 0.31
42, 0.20
43, 0.23
44, 0.48
45, 0.32
46, 0.19
47, 0.36
48, 0.23
49, 0.41
50, 0.27
51, 0.19
52, 0.27
53, 0.60
54, 0.36
55, 0.63
56, 0.63
57, 0.08
58, 0.36
59, 0.40
60, 0.64
61, 0.24
62, 0.28
63, 0.30
64, 0.31
65, 0.32
66, 0.50
67, 0.30
68, 0.67
69, 0.23
70, 0.65
71, 0.20
72, 0.37
73, 0.24
74, 0.55
75, 0.27
76, 0.30
77, 0.28
78, 0.24
79, 0.31
80, 0.31
81, 0.21
82, 0.28
83, 0.28
84, 0.24
85, 0.24
86, 0.74
87, 0.38
88, 0.29
89, 0.23
90, 0.44
91, 0.23
92, 0.20
93, 0.09
94, 0.25
95, 0.61
96, 0.22
97, 0.30
98, 0.43
99, 0.26
100, 0.66
101, 0.21
102, 0.28
103, 0.24
104, 0.37
105, 0.22
106, 0.63
107, 0.30
108, 0.35
109, 0.39
110, 0.22
111, 0.33
112, 0.46
113, 0.23
114, 0.19
115, 0.70
116, 0.31
117, 0.43
118, 0.35
119, 0.27
120, 0.29
121, 0.51
122, 0.38
123, 0.30
124, 0.20
125, 0.49
126, 0.33
127, 0.33
128, 0.36
129, 0.60
130, 0.31
131, 0.57
132, 0.43
133, 0.56
134, 0.77
135, 0.34
136, 0.28
137, 0.29
138, 0.47
139, 0.26
140, 0.36
141, 0.41
142, 0.56
143, 0.35
144, 0.55
145, 0.41
146, 0.27
147, 0.31
148, 0.32
149, 0.48
150, 0.22
151, 0.21
152, 0.20
153, 0.22
154, 0.39
155, 0.26
156, 0.30
157, 0.54
158, 0.35
159, 0.59
160, 0.26
161, 0.44
162, 0.21
163, 0.38
164, 0.25
165, 0.36
166, 0.56
167, 0.46
168, 0.28
169, 0.30
170, 0.29
171, 0.23
172, 0.71
173, 0.21
174, 0.28
175, 0.08
176, 0.70
177, 0.24
178, 0.30
179, 0.35
180, 0.26
181, 0.54
182, 0.24
183, 0.47
184, 0.28
185, 0.27
186, 0.49
187, 0.30
188, 0.21
189, 0.23
190, 0.39
191, 0.46
192, 0.30
193, 0.53
194, 0.24
195, 0.20
196, 0.80
197, 0.37
198, 0.33
199, 0.31
200, 0.53
201, 0.23
202, 0.22
203, 0.48
204, 0.34
205, 0.27
206, 0.37
207, 0.51
208, 0.36
209, 0.60
210, 0.19
211, 0.22
212, 0.37
213, 0.64
214, 0.21
215, 0.27
216, 0.37
217, 0.21
218, 0.57
219, 0.28
220, 0.24
221, 0.35
222, 0.51
223, 0.24
224, 0.20
225, 0.30
226, 0.46
227, 0.29
228, 0.61
229, 0.24
230, 0.28
231, 0.26
232, 0.20
233, 0.07
234, 0.37
235, 0.24
236, 0.53
237, 0.35
238, 0.29
239, 0.24
240, 0.30
241, 0.52
242, 0.38
243, 0.30
244, 0.54
245, 0.23
246, 0.44
247, 0.34
248, 0.22
249, 0.39
250, 0.54
251, 0.23
252, 0.21
253, 0.22
254, 0.23
255, 0.54
256, 0.23
257, 0.38
258, 0.49
259, 0.32
260, 0.29
261, 0.33
262, 0.53
263, 0.33
264, 0.36
265, 0.35
266, 0.23
267, 0.25
268, 0.45
269, 0.37
270, 0.21
271, 0.36
272, 0.32
273, 0.49
274, 0.25
275, 0.27
276, 0.23
277, 0.25
278, 0.62
279, 0.21
280, 0.44
281, 0.24
282, 0.24
283, 0.29
284, 0.62
285, 0.32
286, 0.37
287, 0.42
288, 0.38
289, 0.78
290, 0.35
291, 0.35
