ID,Prob1
0, 0.27
1, 0.20
2, 0.40
3, 0.21
4, 0.34
5, 0.30
6, 0.37
7, 0.20
8, 0.67
9, 0.62
10, 0.26
11, 0.51
12, 0.33
13, 0.77
14, 0.20
15, 0.42
16, 0.64
17, 0.32
18, 0.37
19, 0.21
20, 0.21
21, 0.52
22, 0.22
23, 0.27
24, 0.45
25, 0.20
26, 0.80
27, 0.65
28, 0.29
29, 0.37
30, 0.29
31, 0.19
32, 0.28
33, 0.27
34, 0.35
35, 0.49
36, 0.58
37, 0.37
38, 0.25
39, 0.20
40, 0.24
41, 0.30
42, 0.20
43, 0.24
44, 0.48
45, 0.31
46, 0.23
47, 0.37
48, 0.27
49, 0.38
50, 0.27
51, 0.20
52, 0.28
53, 0.62
54, 0.35
55, 0.60
56, 0.59
57, 0.11
58, 0.32
59, 0.38
60, 0.66
61, 0.25
62, 0.28
63, 0.29
64, 0.34
65, 0.30
66, 0.48
67, 0.32
68, 0.73
69, 0.22
70, 0.63
71, 0.20
72, 0.42
73, 0.25
74, 0.54
75, 0.21
76, 0.32
77, 0.26
78, 0.23
79, 0.28
80, 0.34
81, 0.23
82, 0.29
83, 0.31
84, 0.28
85, 0.22
86, 0.70
87, 0.40
88, 0.29
89, 0.22
90, 0.45
91, 0.22
92, 0.25
93, 0.10
94, 0.29
95, 0.62
96, 0.23
97, 0.25
98, 0.43
99, 0.25
100, 0.65
101, 0.23
102, 0.27
103, 0.23
104, 0.38
105, 0.21
106, 0.59
107, 0.30
108, 0.36
109, 0.37
110, 0.24
111, 0.35
112, 0.48
113, 0.29
114, 0.20
115, 0.72
116, 0.27
117, 0.42
118, 0.30
119, 0.28
120, 0.25
121, 0.51
122, 0.39
123, 0.30
124, 0.20
125, 0.45
126, 0.36
127, 0.33
128, 0.33
129, 0.60
130, 0.30
131, 0.57
132, 0.40
133, 0.55
134, 0.75
135, 0.37
136, 0.30
137, 0.29
138, 0.46
139, 0.28
140, 0.37
141, 0.42
142, 0.55
143, 0.34
144, 0.51
145, 0.43
146, 0.27
147, 0.37
148, 0.34
149, 0.47
150, 0.22
151, 0.21
152, 0.21
153, 0.24
154, 0.39
155, 0.26
156, 0.29
157, 0.50
158, 0.36
159, 0.52
160, 0.26
161, 0.40
162, 0.21
163, 0.37
164, 0.27
165, 0.34
166, 0.56
167, 0.41
168, 0.26
169, 0.35
170, 0.28
171, 0.22
172, 0.74
173, 0.20
174, 0.28
175, 0.08
176, 0.73
177, 0.25
178, 0.30
179, 0.33
180, 0.30
181, 0.52
182, 0.24
183, 0.46
184, 0.31
185, 0.23
186, 0.49
187, 0.26
188, 0.20
189, 0.25
190, 0.42
191, 0.47
192, 0.26
193, 0.56
194, 0.23
195, 0.20
196, 0.79
197, 0.36
198, 0.36
199, 0.29
200, 0.50
201, 0.22
202, 0.23
203, 0.51
204, 0.26
205, 0.24
206, 0.39
207, 0.51
208, 0.33
209, 0.59
210, 0.19
211, 0.23
212, 0.37
213, 0.63
214, 0.21
215, 0.23
216, 0.39
217, 0.23
218, 0.58
219, 0.27
220, 0.22
221, 0.34
222, 0.47
223, 0.24
224, 0.20
225, 0.28
226, 0.44
227, 0.27
228, 0.62
229, 0.24
230, 0.27
231, 0.26
232, 0.20
233, 0.08
234, 0.37
235, 0.24
236, 0.63
237, 0.35
238, 0.29
239, 0.24
240, 0.34
241, 0.53
242, 0.30
243, 0.28
244, 0.53
245, 0.23
246, 0.47
247, 0.33
248, 0.23
249, 0.37
250, 0.53
251, 0.21
252, 0.21
253, 0.23
254, 0.21
255, 0.61
256, 0.22
257, 0.38
258, 0.50
259, 0.35
260, 0.31
261, 0.33
262, 0.49
263, 0.28
264, 0.27
265, 0.35
266, 0.22
267, 0.24
268, 0.45
269, 0.35
270, 0.23
271, 0.38
272, 0.34
273, 0.52
274, 0.23
275, 0.26
276, 0.23
277, 0.28
278, 0.65
279, 0.22
280, 0.45
281, 0.26
282, 0.22
283, 0.28
284, 0.63
285, 0.38
286, 0.35
287, 0.40
288, 0.38
289, 0.77
290, 0.37
291, 0.32
292, 0.22
293, 0.50
294, 0.34
295, 0.36
296, 0.23
297, 0.36
298, 0.53
299, 0.62
300, 0.33
301, 0.12
302, 0.54
303, 0.35
304, 0.27
305, 0.63
306, 0.20
307, 0.37
308, 0.35
309, 0.20
310, 0.66
311, 0.38
312, 0.24
313, 0.46
314, 0.75
315, 0.23
316, 0.29
317, 0.26
318, 0.27
319, 0.51
320, 0.23
321, 0.44
322, 0.48
323, 0.20
324, 0.35
325, 0.29
326, 0.24
327, 0.27
328, 0.38
329, 0.66
330, 0.20
331, 0.19
332, 0.41
333, 0.20
334, 0.19
335, 0.34
336, 0.22
337, 0.27
338, 0.66
339, 0.21
340, 0.70
341, 0.40
342, 0.34
343, 0.76
344, 0.29
345, 0.09
346, 0.25
347, 0.30
348, 0.23
349, 0.23
350, 0.27
351, 0.27
352, 0.20
353, 0.53
354, 0.45
355, 0.35
356, 0.23
357, 0.24
358, 0.34
359, 0.31
360, 0.27
361, 0.50
362, 0.25
363, 0.22
364, 0.28
365, 0.47
366, 0.30
367, 0.21
368, 0.38
369, 0.49
370, 0.20
371, 0.24
372, 0.26
373, 0.43
374, 0.20
375, 0.28
376, 0.21
377, 0.23
378, 0.25
379, 0.26
380, 0.54
381, 0.35
382, 0.23
383, 0.40
384, 0.54
385, 0.49
386, 0.20
387, 0.36
388, 0.25
389, 0.28
390, 0.40
391, 0.37
392, 0.26
393, 0.23
394, 0.39
395, 0.65
396, 0.38
397, 0.35
398, 0.28
399, 0.26
400, 0.27
401, 0.57
402, 0.68
403, 0.21
404, 0.28
405, 0.27
406, 0.58
407, 0.20
408, 0.34
409, 0.55
410, 0.22
411, 0.56
412, 0.28
413, 0.24
414, 0.39
415, 0.25
416, 0.32
417, 0.20
418, 0.28
419, 0.27
420, 0.28
421, 0.36
422, 0.19
423, 0.51
424, 0.31
425, 0.48
426, 0.08
427, 0.21
428, 0.43
429, 0.36
430, 0.57
431, 0.21
432, 0.48
433, 0.20
434, 0.23
435, 0.30
436, 0.28
437, 0.46
438, 0.45
439, 0.20
440, 0.35
441, 0.26
442, 0.23
443, 0.46
444, 0.56
445, 0.33
446, 0.45
447, 0.48
448, 0.23
449, 0.24
450, 0.34
451, 0.24
452, 0.36
453, 0.33
454, 0.26
455, 0.54
456, 0.26
457, 0.60
458, 0.32
459, 0.52
460, 0.23
461, 0.29
462, 0.45
463, 0.45
464, 0.40
465, 0.41
466, 0.24
467, 0.67
468, 0.27
469, 0.29
470, 0.20
471, 0.21
472, 0.15
473, 0.20
474, 0.24
475, 0.65
476, 0.32
477, 0.26
478, 0.53
479, 0.67
480, 0.21
481, 0.52
482, 0.32
483, 0.24
484, 0.37
485, 0.53
486, 0.28
487, 0.26
488, 0.43
489, 0.21
490, 0.23
491, 0.35
492, 0.40
493, 0.33
494, 0.24
495, 0.30
496, 0.38
497, 0.37
498, 0.28
499, 0.29
500, 0.71
501, 0.25
502, 0.24
503, 0.38
504, 0.20
505, 0.24
506, 0.19
507, 0.43
508, 0.23
509, 0.32
510, 0.28
511, 0.55
512, 0.51
513, 0.19
514, 0.59
515, 0.26
516, 0.67
517, 0.22
518, 0.13
519, 0.33
520, 0.26
521, 0.62
522, 0.60
523, 0.38
524, 0.20
525, 0.36
526, 0.08
527, 0.29
528, 0.50
529, 0.47
530, 0.72
531, 0.44
532, 0.20
533, 0.71
534, 0.34
535, 0.25
536, 0.64
537, 0.30
538, 0.46
539, 0.20
540, 0.42
541, 0.19
542, 0.23
543, 0.69
544, 0.51
545, 0.26
546, 0.39
547, 0.23
548, 0.31
549, 0.22
550, 0.28
551, 0.56
552, 0.50
553, 0.78
554, 0.25
555, 0.24
556, 0.53
557, 0.56
558, 0.35
559, 0.31
560, 0.74
561, 0.65
562, 0.51
563, 0.52
564, 0.23
565, 0.35
566, 0.23
567, 0.36
568, 0.28
569, 0.37
570, 0.67
571, 0.34
572, 0.27
573, 0.48
574, 0.38
575, 0.28
576, 0.26
577, 0.32
578, 0.26
579, 0.20
580, 0.21
581, 0.26
582, 0.27
583, 0.39
584, 0.43
585, 0.52
586, 0.21
587, 0.58
588, 0.78
589, 0.20
590, 0.70
591, 0.44
592, 0.22
593, 0.43
594, 0.41
595, 0.43
596, 0.64
597, 0.27
598, 0.27
599, 0.20
600, 0.35
601, 0.46
602, 0.62
603, 0.25
604, 0.20
605, 0.54
606, 0.32
607, 0.20
608, 0.26
609, 0.34
610, 0.47
611, 0.49
612, 0.20
613, 0.31
614, 0.48
615, 0.26
616, 0.35
617, 0.19
618, 0.48
619, 0.17
620, 0.24
621, 0.10
622, 0.59
623, 0.63
624, 0.27
625, 0.18
626, 0.21
627, 0.24
628, 0.22
629, 0.19
630, 0.24
631, 0.30
632, 0.30
633, 0.20
634, 0.38
635, 0.08
636, 0.20
637, 0.36
638, 0.23
639, 0.24
640, 0.22
641, 0.18
642, 0.20
643, 0.20
644, 0.59
645, 0.51
646, 0.24
647, 0.26
648, 0.35
649, 0.09
650, 0.21
651, 0.45
652, 0.48
653, 0.48
654, 0.32
655, 0.76
656, 0.39
657, 0.48
658, 0.09
659, 0.47
660, 0.28
661, 0.31
662, 0.50
663, 0.23
664, 0.20
665, 0.51
666, 0.53
667, 0.34
668, 0.22
669, 0.27
670, 0.24
671, 0.28
672, 0.39
673, 0.70
674, 0.77
675, 0.23
676, 0.18
677, 0.41
678, 0.45
679, 0.47
680, 0.55
681, 0.35
682, 0.45
683, 0.24
684, 0.49
685, 0.71
686, 0.25
687, 0.19
688, 0.32
689, 0.51
690, 0.20
691, 0.28
692, 0.26
693, 0.29
694, 0.36
695, 0.51
696, 0.12
697, 0.18
698, 0.58
699, 0.28
700, 0.22
701, 0.47
702, 0.29
703, 0.38
704, 0.33
705, 0.20
706, 0.23
707, 0.36
708, 0.38
709, 0.56
710, 0.55
711, 0.68
712, 0.31
713, 0.20
714, 0.30
715, 0.25
716, 0.48
717, 0.30
718, 0.27
719, 0.43
720, 0.63
721, 0.78
722, 0.32
723, 0.31
724, 0.27
725, 0.59
726, 0.33
727, 0.25
728, 0.32
729, 0.17
730, 0.22
731, 0.41
732, 0.45
733, 0.25
734, 0.20
735, 0.31
736, 0.31
737, 0.49
738, 0.33
739, 0.29
740, 0.20
741, 0.20
742, 0.68
743, 0.36
744, 0.21
745, 0.24
746, 0.27
747, 0.43
748, 0.30
749, 0.68
750, 0.66
751, 0.29
752, 0.46
753, 0.67
754, 0.20
755, 0.43
756, 0.61
757, 0.51
758, 0.37
759, 0.43
760, 0.28
761, 0.30
762, 0.31
763, 0.27
764, 0.32
765, 0.33
766, 0.11
767, 0.17
768, 0.32
769, 0.64
770, 0.31
771, 0.39
772, 0.32
773, 0.20
774, 0.61
775, 0.80
776, 0.27
777, 0.32
778, 0.23
779, 0.67
780, 0.55
781, 0.55
782, 0.39
783, 0.52
784, 0.65
785, 0.37
786, 0.24
787, 0.28
788, 0.11
789, 0.48
790, 0.57
791, 0.58
792, 0.53
793, 0.29
794, 0.34
795, 0.20
796, 0.20
797, 0.38
798, 0.55
799, 0.11
800, 0.27
801, 0.20
802, 0.12
803, 0.34
804, 0.66
805, 0.21
806, 0.59
807, 0.27
808, 0.20
809, 0.49
810, 0.37
811, 0.43
812, 0.28
813, 0.22
814, 0.33
815, 0.24
816, 0.33
817, 0.35
818, 0.30
819, 0.37
820, 0.26
821, 0.42
822, 0.21
823, 0.35
824, 0.26
825, 0.30
826, 0.37
827, 0.38
828, 0.77
829, 0.28
830, 0.53
831, 0.28
832, 0.35
833, 0.21
834, 0.29
835, 0.23
836, 0.19
837, 0.57
838, 0.20
839, 0.08
840, 0.27
841, 0.25
842, 0.64
843, 0.14
844, 0.23
845, 0.20
846, 0.20
847, 0.26
848, 0.64
849, 0.20
850, 0.20
851, 0.23
852, 0.38
853, 0.37
854, 0.27
855, 0.32
856, 0.20
857, 0.29
858, 0.51
859, 0.27
860, 0.36
861, 0.21
862, 0.29
863, 0.20
864, 0.24
865, 0.21
866, 0.26
867, 0.59
868, 0.29
869, 0.28
870, 0.32
871, 0.21
872, 0.20
873, 0.08
874, 0.37
875, 0.55
876, 0.26
877, 0.36
878, 0.54
879, 0.34
880, 0.26
881, 0.63
882, 0.30
883, 0.29
884, 0.12
885, 0.32
886, 0.25
887, 0.39
888, 0.27
889, 0.25
890, 0.23
891, 0.21
892, 0.33
893, 0.20
894, 0.26
895, 0.48
896, 0.28
897, 0.22
898, 0.20
899, 0.21
900, 0.20
901, 0.43
902, 0.26
903, 0.27
904, 0.22
905, 0.26
906, 0.27
907, 0.46
908, 0.39
909, 0.22
910, 0.68
911, 0.20
912, 0.34
913, 0.48
914, 0.24
915, 0.23
916, 0.44
917, 0.28
918, 0.37
919, 0.30
920, 0.23
921, 0.25
922, 0.53
923, 0.29
924, 0.34
925, 0.29
926, 0.64
927, 0.63
928, 0.29
929, 0.57
930, 0.41
931, 0.39
932, 0.22
933, 0.33
934, 0.28
935, 0.28
936, 0.20
937, 0.53
938, 0.26
939, 0.34
940, 0.65
941, 0.27
942, 0.24
943, 0.51
944, 0.51
945, 0.28
946, 0.18
947, 0.64
948, 0.36
949, 0.21
950, 0.59
951, 0.47
952, 0.26
953, 0.25
954, 0.43
955, 0.43
956, 0.40
957, 0.49
958, 0.20
959, 0.36
960, 0.23
961, 0.49
962, 0.20
963, 0.17
964, 0.36
965, 0.31
966, 0.29
967, 0.24
968, 0.70
969, 0.34
970, 0.20
971, 0.29
972, 0.30
973, 0.45
974, 0.22
975, 0.48
976, 0.20
977, 0.26
978, 0.25
979, 0.35
980, 0.63
981, 0.26
982, 0.41
983, 0.20
984, 0.16
985, 0.24
986, 0.51
987, 0.30
988, 0.36
989, 0.38
990, 0.46
991, 0.24
992, 0.37
993, 0.60
994, 0.21
995, 0.41
996, 0.52
997, 0.70
998, 0.35
999, 0.27
1000, 0.40
1001, 0.25
1002, 0.34
1003, 0.45
1004, 0.23
1005, 0.53
1006, 0.39
1007, 0.33
1008, 0.12
1009, 0.53
1010, 0.24
1011, 0.27
1012, 0.36
1013, 0.37
1014, 0.28
1015, 0.38
1016, 0.55
1017, 0.26
1018, 0.24
1019, 0.21
1020, 0.46
1021, 0.28
1022, 0.63
1023, 0.30
1024, 0.22
1025, 0.23
1026, 0.27
1027, 0.22
1028, 0.47
1029, 0.30
1030, 0.28
1031, 0.62
1032, 0.43
1033, 0.24
1034, 0.49
1035, 0.31
1036, 0.29
1037, 0.46
1038, 0.39
1039, 0.37
1040, 0.53
1041, 0.34
1042, 0.30
1043, 0.42
1044, 0.27
1045, 0.17
1046, 0.20
1047, 0.26
1048, 0.24
1049, 0.26
1050, 0.31
1051, 0.38
1052, 0.29
1053, 0.36
1054, 0.29
1055, 0.71
1056, 0.20
1057, 0.21
1058, 0.42
1059, 0.35
1060, 0.65
1061, 0.28
1062, 0.23
1063, 0.45
1064, 0.34
1065, 0.24
1066, 0.43
1067, 0.26
1068, 0.44
1069, 0.30
1070, 0.70
1071, 0.28
1072, 0.63
1073, 0.55
1074, 0.27
1075, 0.22
1076, 0.38
1077, 0.65
1078, 0.32
1079, 0.10
1080, 0.22
1081, 0.42
1082, 0.59
1083, 0.70
1084, 0.16
1085, 0.32
1086, 0.48
1087, 0.51
1088, 0.19
1089, 0.48
1090, 0.55
1091, 0.42
